prior_family_id,standoff_m,background_drift_slope_per_day,failure_count,total_robust_runs,failure_rate,mean_far_inflation_ratio_when_failed,p95_far_inflation_ratio_when_failed
M_conservative_mixture,40,0.03,39,60,0.6500,1.2924,1.3390
M_conservative_mixture,15,0.03,38,60,0.6333,1.2937,1.3384
M_conservative_mixture,25,0.03,36,60,0.6000,1.2996,1.3467
M_conservative_mixture,60,0.03,36,60,0.6000,1.2957,1.3355
M_mueller,15,0.03,28,60,0.4667,1.2806,1.3121
M_mueller,40,0.03,27,60,0.4500,1.2878,1.3111
M_mueller,25,0.03,27,60,0.4500,1.2809,1.3045
M_mueller,60,0.03,26,60,0.4333,1.2855,1.3081
M_huber,25,0.03,18,60,0.3000,1.2672,1.2870
M_huber,60,0.03,17,60,0.2833,1.2711,1.3008
M_huber,15,0.03,16,60,0.2667,1.2759,1.2905
M_conservative_mixture,15,0.01,16,60,0.2667,1.2659,1.2774
M_huber,40,0.03,15,60,0.2500,1.2706,1.2816
M_conservative_mixture,60,0.01,14,60,0.2333,1.2708,1.2828
M_conservative_mixture,40,0.01,13,60,0.2167,1.2775,1.2964
M_conservative_mixture,25,0.01,13,60,0.2167,1.2649,1.2871
M_mueller,40,0.01,6,60,0.1000,1.2553,1.2569
M_mueller,60,0.01,5,60,0.0833,1.2587,1.2651
M_mueller,15,0.01,5,60,0.0833,1.2566,1.2605
M_mueller,25,0.01,4,60,0.0667,1.2571,1.2561
M_conservative_mixture,40,0.00,4,60,0.0667,1.2560,1.2565
M_conservative_mixture,25,0.00,3,60,0.0500,1.2525,1.2528
M_conservative_mixture,60,0.00,1,60,0.0167,1.2511,1.2511
M_huber,15,0.00,0,60,0.0000,0.0000,0.0000
M_huber,25,0.00,0,60,0.0000,0.0000,0.0000
M_huber,40,0.00,0,60,0.0000,0.0000,0.0000
M_huber,60,0.00,0,60,0.0000,0.0000,0.0000
M_mueller,15,0.00,0,60,0.0000,0.0000,0.0000
M_mueller,25,0.00,0,60,0.0000,0.0000,0.0000
M_mueller,40,0.00,0,60,0.0000,0.0000,0.0000
M_mueller,60,0.00,0,60,0.0000,0.0000,0.0000
M_daya_bay_calibrated,15,0.00,0,60,0.0000,0.0000,0.0000
M_daya_bay_calibrated,25,0.00,0,60,0.0000,0.0000,0.0000
M_daya_bay_calibrated,40,0.00,0,60,0.0000,0.0000,0.0000
M_daya_bay_calibrated,60,0.00,0,60,0.0000,0.0000,0.0000
M_conservative_mixture,15,0.00,0,60,0.0000,0.0000,0.0000
M_huber,15,0.01,0,60,0.0000,0.0000,0.0000
M_huber,25,0.01,0,60,0.0000,0.0000,0.0000
M_huber,40,0.01,0,60,0.0000,0.0000,0.0000
M_huber,60,0.01,0,60,0.0000,0.0000,0.0000
M_daya_bay_calibrated,15,0.01,0,60,0.0000,0.0000,0.0000
M_daya_bay_calibrated,25,0.01,0,60,0.0000,0.0000,0.0000
M_daya_bay_calibrated,40,0.01,0,60,0.0000,0.0000,0.0000
M_daya_bay_calibrated,60,0.01,0,60,0.0000,0.0000,0.0000
M_daya_bay_calibrated,15,0.03,0,60,0.0000,0.0000,0.0000
M_daya_bay_calibrated,25,0.03,0,60,0.0000,0.0000,0.0000
M_daya_bay_calibrated,40,0.03,0,60,0.0000,0.0000,0.0000
M_daya_bay_calibrated,60,0.03,0,60,0.0000,0.0000,0.0000
