seed,baseline,alpha_target,background_drift_slope_per_day,energy_resolution_pct,prior_family_id,standoff_m,regime_id,FAR_at_target_alpha,MedianDetectionDelay_days,TPR_at_alpha_1e-3,FAR_inflation_ratio,CalibrationViolation
101,PM Robust minimax detector,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.011312879185347654,4.819241608058272,0.8790431055764143,1.1312879185347653,1
101,BL1 Single-prior likelihood-ratio detector,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.012064451772997947,5.3027173493687165,0.7986877249612447,1.2064451772997946,1
101,BL2 Count-only SPRT with nominal assumptions,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.015282471282666065,7.2496475986242555,0.6259892388641878,1.5282471282666064,1
101,BL3 Nuisance-penalized chi-square spectral fit,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.012659904208650681,6.682595034034427,0.6835027637421822,1.265990420865068,1
101,BL4 Fixed-threshold TS detector without minimax prior calibration,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.01349510646808433,7.6448390316758,0.5930426322334169,1.349510646808433,1
101,BL5 Rate-only CUSUM with FAR matching,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.013567670939770377,6.667388961823123,0.7003713512664417,1.3567670939770375,1
211,PM Robust minimax detector,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.010777666089612397,4.323768861254592,0.8948890042287773,1.0777666089612397,1
211,BL1 Single-prior likelihood-ratio detector,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.012177234924181535,6.416587190241561,0.7497019525181505,1.2177234924181535,1
211,BL2 Count-only SPRT with nominal assumptions,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.014949427103641673,7.50652402106871,0.6169550723210412,1.4949427103641673,1
211,BL3 Nuisance-penalized chi-square spectral fit,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.012517096207075726,6.38607701956626,0.7352824178647154,1.2517096207075726,1
211,BL4 Fixed-threshold TS detector without minimax prior calibration,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.013630876812748527,7.021177892395125,0.6672501234824084,1.3630876812748527,1
211,BL5 Rate-only CUSUM with FAR matching,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.01397751584955933,7.052121209070087,0.6498339103895127,1.397751584955933,1
307,PM Robust minimax detector,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.010739700720081327,5.026780555058303,0.8294176191071828,1.0739700720081327,1
307,BL1 Single-prior likelihood-ratio detector,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.01196622478114918,6.15217976584716,0.7311799162156211,1.196622478114918,1
307,BL2 Count-only SPRT with nominal assumptions,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.015235610327394693,7.914667724249963,0.5614955012586305,1.5235610327394693,1
307,BL3 Nuisance-penalized chi-square spectral fit,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.012676919011210586,6.673605445517152,0.6916779672953969,1.2676919011210586,1
307,BL4 Fixed-threshold TS detector without minimax prior calibration,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.013378387879149863,7.659095692175721,0.5855981908335635,1.3378387879149862,1
307,BL5 Rate-only CUSUM with FAR matching,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.014193459960517962,7.000224871506154,0.6429594723586289,1.4193459960517962,1
401,PM Robust minimax detector,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.010937939120412962,4.7369384523979,0.8407029071967915,1.093793912041296,1
401,BL1 Single-prior likelihood-ratio detector,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.01225120688087344,5.971852288290313,0.7567508864882829,1.225120688087344,1
401,BL2 Count-only SPRT with nominal assumptions,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.015233627758823498,6.737288220299664,0.7147269830539,1.5233627758823498,1
401,BL3 Nuisance-penalized chi-square spectral fit,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.012428763218666893,6.63462250139819,0.7069915184529145,1.2428763218666892,1
401,BL4 Fixed-threshold TS detector without minimax prior calibration,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.013647458931779323,6.980505106727515,0.6863952250395304,1.3647458931779324,1
401,BL5 Rate-only CUSUM with FAR matching,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.01419624731770706,7.411205428246045,0.6012120603575826,1.419624731770706,1
503,PM Robust minimax detector,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.01100067214228802,4.329030572171492,0.9035311392095198,1.100067214228802,1
503,BL1 Single-prior likelihood-ratio detector,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.01192429311701849,6.083883082990453,0.7550778121608446,1.192429311701849,1
503,BL2 Count-only SPRT with nominal assumptions,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.015000391663974683,7.148228037332267,0.6247593581562015,1.5000391663974681,1
503,BL3 Nuisance-penalized chi-square spectral fit,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.012248579490080727,6.67223216589641,0.6927016712774241,1.2248579490080727,1
503,BL4 Fixed-threshold TS detector without minimax prior calibration,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.013510407984923605,7.124300808465926,0.6496225003972136,1.3510407984923605,1
503,BL5 Rate-only CUSUM with FAR matching,0.01,0.0,4.0,M_huber,15.0,0e5e71f7c762,0.013737826254621032,7.2972295852507845,0.613484222238486,1.3737826254621033,1
101,PM Robust minimax detector,0.01,0.0,4.0,M_huber,25.0,8df3bcdc1efd,0.010791077214536638,5.82521967116436,0.7878786131479365,1.0791077214536637,1
101,BL1 Single-prior likelihood-ratio detector,0.01,0.0,4.0,M_huber,25.0,8df3bcdc1efd,0.012266756266268372,6.349833609835145,0.7448666688310486,1.2266756266268373,1
101,BL2 Count-only SPRT with nominal assumptions,0.01,0.0,4.0,M_huber,25.0,8df3bcdc1efd,0.015062080721326152,9.335836136996793,0.40021731420622253,1.5062080721326152,1
101,BL3 Nuisance-penalized chi-square spectral fit,0.01,0.0,4.0,M_huber,25.0,8df3bcdc1efd,0.012241150417683191,7.360879436496342,0.596897501376557,1.224115041768319,1
