Standoff Distance (m),Prior Family,Median Delay Ratio (PM / BL1),90th Percentile Delay Ratio (PM / BL1)
15.0,M_conservative_mixture,0.8225178481547469,0.8965187568253595
15.0,M_daya_bay_calibrated,0.8084950002584209,0.91956258606339
15.0,M_huber,0.8201470897728224,0.8983054628092498
15.0,M_mueller,0.8141267639142928,0.8937094491448104
25.0,M_conservative_mixture,0.8242776844770205,0.897056237472436
25.0,M_daya_bay_calibrated,0.8166196808188854,0.8966879100215023
25.0,M_huber,0.8211784027079599,0.8898893149166804
25.0,M_mueller,0.8120464520105544,0.8860446385225318
40.0,M_conservative_mixture,0.8184575775064968,0.8746854016072986
40.0,M_daya_bay_calibrated,0.8121512725530395,0.8824237794011454
40.0,M_huber,0.8212047051593987,0.886422628651193
40.0,M_mueller,0.8278638734534863,0.874438330250337
60.0,M_conservative_mixture,0.8236611712440329,0.8769730078595364
60.0,M_daya_bay_calibrated,0.8266015375257014,0.8849884229690126
60.0,M_huber,0.8208716726228233,0.8850101235107692
60.0,M_mueller,0.8179360090089207,0.8783325847290269
